,Time,Artist,Song
91,2019-08-06 07:18:26,A Boogie Wit da Hoodie,Look Back At It (feat. Olexesh)
92,2019-08-06 07:14:41,Post Malone,Wow.
93,2019-08-06 07:04:29,Meek Mill,24/7 (feat. Ella Mai)
94,2019-08-06 06:49:26,Kodak Black,ZEZE (feat. Travis Scott & Offset)
95,2019-08-06 06:46:58,Chris Brown feat. Drake,No Guidance
96,2019-08-06 06:43:51,Sage The Gemini (feat. IamSu),Gas Pedal
97,2019-08-06 06:38:53,Young Thug,The London (feat. J. Cole & Travis Scott)
98,2019-08-06 06:36:22,Khalid,Talk
99,2019-08-06 06:33:50,XXXTENTACION,SAD!
100,2019-08-06 06:20:29,City Girls,Act Up
101,2019-08-06 06:17:53,Meek Mill,Going Bad (feat. Drake)
102,2019-08-06 06:04:12,"YG, Tyga , Jon Z",Go Loko
103,2019-08-06 06:00:38,A Boogie Wit da Hoodie,Look Back At It (feat. Olexesh)
104,2019-08-06 05:56:43,"Khalid feat. Ty Dolla $ign , 6lack",OTW
105,2019-08-06 05:53:21,Meek Mill,24/7 (feat. Ella Mai)
106,2019-08-06 05:38:05,"Jacquees , Lil Baby",Your Peace
107,2019-08-06 05:34:00,Chris Brown feat. Drake,No Guidance
108,2019-08-06 05:31:44,Saweetie,My Type
109,2019-08-06 05:27:41,"YG, 2 Chainz, Big Sean, , Nicki Minaj",BIG BANK
110,2019-08-06 05:23:35,The Notorious B.I.G.,Mo Money Mo Problems (feat. Mase & Puff Daddy)
111,2019-08-06 05:20:52,Khalid,Talk
112,2019-08-06 05:09:44,DaBaby,Suge
113,2019-08-06 05:05:57,The Weeknd,The Hills
114,2019-08-06 05:03:22,Meek Mill,Going Bad (feat. Drake)
115,2019-08-06 04:55:22,Sevyn Streeter,It Won't Stop (feat. Chris Brown)
116,2019-08-06 04:52:12,"Fat Joe , Remy Ma (feat. French Montana , Infared)",All The Way Up
117,2019-08-06 04:48:08,T.I.,What You Know
118,2019-08-06 04:44:45,Bruno Mars,That's What I Like
119,2019-08-06 04:40:36,"2Pac, K-Ci, , JOJO",How Do U Want It
120,2019-08-06 04:37:50,PJ,One Missed Call
121,2019-08-06 04:33:31,Chance the Rapper,No Problem (feat. Lil Wayne & 2 Chainz)
122,2019-08-06 04:29:23,Gucci Mane,Wasted (feat. OJ Da Juiceman)
123,2019-08-06 04:25:35,PARTYNEXTDOOR,Come and See Me (feat. Drake)
124,2019-08-06 04:21:55,Meek Mill,24/7 (feat. Ella Mai)
125,2019-08-06 04:18:16,Wiz Khalifa,We Dem Boyz
126,2019-08-06 04:15:26,LIZZO,Truth Hurts
127,2019-08-06 04:09:58,Migos,Bad and Boujee (feat. Lil Uzi Vert)
128,2019-08-06 04:07:23,Roddy Ricch,Die Young
129,2019-08-06 04:03:21,Trey Songz,Love Faces
130,2019-08-06 03:59:57,Childish Gambino,Redbone
131,2019-08-06 03:56:39,"Cardi B , Bruno Mars",Please Me
132,2019-08-06 03:51:51,Twista,Slow Jamz (feat. Kanye West & Jamie Foxx)
133,2019-08-06 03:46:40,Fetty Wap,Again
134,2019-08-06 03:42:26,The Notorious B.I.G.,One More Chance
135,2019-08-06 03:38:39,Young M.A,OOOUUU
136,2019-08-06 03:34:30,Webbie,Independent (feat. Lil' Boosie and Lil' Phat)
137,2019-08-06 03:31:40,Meek Mill,Going Bad (feat. Drake)
138,2019-08-06 03:24:21,Tank,When We
139,2019-08-06 03:20:53,Gucci Mane,I Get the Bag (feat. Migos)
140,2019-08-06 03:18:22,PnB Rock,I Like Girls (feat. Lil Skies)
141,2019-08-06 03:14:26,T.I.,Bring Em Out
142,2019-08-06 03:12:08,Cardi B,Press
143,2019-08-06 03:09:08,Dae Dae,"Wat U Mean (Aye, Aye, Aye)"
144,2019-08-06 03:06:16,A Boogie Wit da Hoodie,Look Back At It (feat. CAPO PLAZA)
145,2019-08-06 03:02:59,Wale,Lotus Flower Bomb (feat. Miguel)
146,2019-08-06 02:59:19,DJ Luke Nasty,OTW
147,2019-08-06 02:57:15,Saweetie,My Type
148,2019-08-06 02:53:11,Meek Mill,I'm a Boss (feat. Rick Ross)
149,2019-08-06 02:50:27,BlocBoy JB,Shoot
150,2019-08-06 02:46:54,Ty Dolla $ign,Paranoid (feat. B.o.B)
151,2019-08-06 02:43:11,Bruno Mars,24K Magic
152,2019-08-06 02:38:13,Aaliyah featuring Timbaland and Missy Elliott,One In A Million (feat Timbaland and Missy Elliott)
153,2019-08-06 02:35:28,PJ,One Missed Call
154,2019-08-06 02:31:28,Migos,T-Shirt
155,2019-08-06 02:28:22,Trey Songz,Neighbors Know My Name
156,2019-08-06 02:23:29,"DJ Khaled, Drake, Rick Ross, , Lil Wayne",I'm On One
157,2019-08-06 02:19:49,Meek Mill,24/7 (feat. Ella Mai)
158,2019-08-06 02:15:42,The Notorious B.I.G.,Juicy
159,2019-08-06 02:12:52,LIZZO,Truth Hurts
160,2019-08-06 02:09:10,O.T. Genasis,Cut It (feat. Young Dolph)
161,2019-08-06 02:06:35,Roddy Ricch,Die Young
162,2019-08-06 02:02:57,Fetty Wap,Trap Queen
163,2019-08-06 01:59:15,Omarion,Post To Be (feat. Chris Brown & Jhene Aiko)
164,2019-08-06 01:59:15,Omarion,Post To Be (feat. Chris Brown & Jhene Aiko)
165,2019-08-06 01:55:58,"Cardi B , Bruno Mars",Please Me
166,2019-08-06 01:51:41,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale)
167,2019-08-06 01:48:42,LIL UZI VERT,XO Tour Llif3
168,2019-08-06 01:40:31,Migos,Slippery (feat. Gucci Mane)
169,2019-08-06 01:36:18,2Pac,I Ain't Mad At Cha
170,2019-08-06 01:33:29,Meek Mill,Going Bad (feat. Drake)
171,2019-08-06 01:30:33,Bri Steves,Jealousy
172,2019-08-06 01:26:29,The Notorious B.I.G.,Mo Money Mo Problems (feat. Mase & Puff Daddy)
173,2019-08-06 01:22:48,Kodak Black,ZEZE (feat. Travis Scott & Offset)
